"country_name","country_code","population","gdp","trade","electricity_oil_pct","score","agriculture_pct","services_pct","industry_pct","reactors","LL","region","qual_score"
"Algeria","DZA",46164219,247923887214.655,8361260682.68517,0.279209846591444,36,13.3692450434856,45.5476795606292,37.5476547378243,0,0,4,2
"Argentina","ARG",45538401,649461687959.174,-8863234392.09042,9.05463061414016,37,5.8467786039069,53.1990739500308,25.1722105252735,3,0,3,2
"Australia","AUS",26659922,1734451264655.6,59296317893.4892,1.77211684895473,75,2.57169831894523,63.6365823532904,27.5167800860919,0,0,5,3
"Austria","AUT",9131761,516670509628.876,10221561709.0208,1.04889939429753,71,1.24176172038934,62.579986897047,26.0904948643547,0,1,2,3
"Azerbaijan","AZE",10153958,72428470588.2353,10470915000,0.36171301825627,23,5.51058894617326,39.7647496434616,45.8408458162374,0,1,1,1
"Belgium","BEL",11779946,651330595110.011,-1572978726.3256,0.235451600951368,73,0.774565666013089,70.2566485434437,19.4660546903987,5,0,2,3
"Bosnia and Herzegovina","BIH",3185073,27592361498.4057,-3248180035.83962,0.430608088449229,35,4.65322230628352,55.9111157268349,23.721885700131,0,0,2,2
"Brazil","BRA",211140729,2191131869706.02,48477715171.275,1.28364207824804,36,6.02306023514157,59.1789358564203,22.1441739229749,2,0,3,2
"Bulgaria","BGR",6446596,102199231384.542,4257410000,0.698049931685505,45,2.52244655399312,62.4320967681537,22.7029866666098,2,0,2,2
"Chile","CHL",19658835,335518054097.637,3173652281.8482,1.80461449891502,66,3.49022733362425,57.6027444991353,28.8030257311404,0,0,3,3
"China","CHN",1410710000,18270356654533.2,385575471624.67,0.0956372007867995,42,6.88951941080068,56.3379775668432,36.7725030223561,57,0,1,2
"Colombia","COL",52321152,366291836137.916,-7766425387.31808,4.05179849667858,40,8.80792294653033,56.7402222191369,24.6925648854384,0,0,3,2
"Costa Rica","CRI",5105525,86497941439.0174,5270418624.655,5.06160506160506,55,3.80047657288839,67.9930784438128,20.459253835237,0,0,3,2
"Croatia","HRV",3859686,85624153964.0987,-1746312309.77122,0.210934382304316,50,2.68395350714236,59.8263852879851,21.1543842881963,0,0,2,2
"Cyprus","CYP",1344976,35075423857.0996,725135011.8292,79.4895852880465,53,1.15495918435607,76.2218713773525,11.3336799309353,0,0,1,2
"Czechia","CZE",10864042,345059295659.911,17012875794.2742,0.11557841151109,57,2.14121915412639,59.6975973460946,30.0237282227463,0,0,2,2
"Denmark","DNK",5946952,404651706117.557,36773554593.4777,0.708526028696786,90,1.03787056976317,63.9079515293954,23.6155835404278,0,0,2,3
"Estonia","EST",1370286,41470344395.1086,350690236.524602,0.31331592689295,76,1.71558125919165,65.135665233461,21.3455594501819,0,0,2,3
"Finland","FIN",5583911,295021982462.75,52315548.70377,0.277164581800343,87,2.33793174221545,61.7735882249458,23.4698440157157,5,0,2,3
"France","FRA",68372286,3056250648138.29,-41937166656.0054,1.17642582657992,71,1.48475796304424,70.2119038407892,18.1109847493837,57,0,2,3
"Germany","DEU",83287273,4562207532490.28,176807952653.58,1.04946266808106,78,0.929156663056282,63.6154489715143,26.7958505063624,0,0,2,3
"Greece","GRC",10407351,242946187738.269,-12066029503.1096,9.39378155300905,49,3.74222017907683,68.6654116276677,14.8477611524462,0,0,2,2
"Honduras","HND",10644851,34355805527.9795,-8121542677.21306,47.4219867104046,23,11.9787948406632,57.571815931058,25.824819269639,0,0,3,1
"Hungary","HUN",9592186,213240316634.648,8782973963.54947,0.154733436488958,42,2.92332182995561,58.2753662016599,25.3398219332592,4,1,2,2
"Iceland","ISL",385663,31677891896.7861,301487007.799373,0.0197599170083486,72,4.18531065954127,65.3769109593883,20.0165908882214,0,0,2,3
"India","IND",1438069596,3638489096033.86,-86336940338.2707,0.209032225591725,39,16.1931893571591,49.5071878364149,25.302936496264,20,0,1,2
"Indonesia","IDN",281190067,1371169301563.62,28593267733.9316,1.97849859271905,34,12.5294214769584,42.8793517397051,40.2156823106794,0,0,1,2
"Ireland","IRL",5311538,567372737459.116,181476445584.563,0.712671103855331,77,0.846910710164401,60.2983373398224,34.0037014019007,0,0,2,3
"Israel","ISR",9849000,512184638998.974,13443100000,0.261120467927879,62,1.28614593929466,72.1468413146559,18.5022962917969,0,0,1,2
"Italy","ITA",58984216,2316727999333.18,38189130035.5952,3.84978618595023,56,1.85975769551569,64.3071085027142,23.6677353518388,0,0,2,2
"Japan","JPN",124516650,4213167237905.83,-72876655744.3754,3.00753604455402,73,0.937452748505902,69.7727958101915,28.6021835997719,14,0,1,3
"Kazakhstan","KAZ",20330104,261840101059.923,18240739384.7674,0.436677378174935,39,3.82500311361663,56.3444686710489,32.4284843310401,0,1,1,2
"Kenya","KEN",55339003,107500884685.013,-7879556656.00247,10.2731638195702,31,21.4522060902205,55.4743471461612,17.1222148239844,0,0,4,1
"Latvia","LVA",1883710,42779550936.838,-1581098659.59593,0.0313136057617035,60,3.93344279418518,63.8600315168596,20.1348662975065,0,0,2,2
"Lithuania","LTU",2871585,79789877416.1681,3120764717.88409,3.57979257276681,61,2.71539099968174,63.0899070350123,24.2370942924201,0,0,2,2
"Luxembourg","LUX",666430,88788881539.3937,33860628325.0668,0,78,0.187252170632403,81.8147238273129,9.28622097638849,0,1,2,3
"Malta","MLT",552747,22610561526.1461,4009273676.8975,0.68259385665529,51,0.0533608475644054,81.7289465869198,11.088762805751,0,0,2,2
"Mauritius","MUS",1248647,14072212290.4596,-1646171442.65234,48.8514548238897,51,4.01265286259242,64.8658576788433,17.8391234046561,0,0,4,2
"Mexico","MEX",129739759,1798317581486.88,-31950750370,7.2859754532454,31,3.83754974792513,57.5637379012085,32.6059323521063,2,0,3,1
"Moldova","MDA",2457783,16711906746.2133,-3931733601.31,4.66926070038911,42,7.08454848490601,61.5158191372832,17.687867818777,0,1,2,2
"Morocco","MAR",37712505,146036093666.762,-12191055206.4029,4.18201368076685,38,11.1311743840061,53.7147502674415,25.3229740167851,0,0,4,2
"Netherlands","NLD",17877117,1135475867551,112849305829.957,1.261023654496,79,1.75149243000648,70.0541740903295,18.1639849428596,1,0,2,3
"North Macedonia","MKD",1827816,15855131188.9092,-2063730290.02676,7.63636363636364,42,6.2308866977397,56.9248687459104,24.0124323129383,0,1,2,2
"Norway","NOR",5519601,482949731776.587,74771139439.8899,0.00839278220730172,84,2.08014844089816,49.9581990524857,39.0661168478106,0,0,2,3
"Paraguay","PRY",6844146,43118053174.5461,733327274.671298,0.00188533398691578,28,11.5900739623011,48.1394663805307,32.8917641916625,0,1,3,1
"Poland","POL",36687353,812451193396.143,4.7774e+10,1.2015869791231,54,2.76537109467644,58.2011282257295,29.3903798055442,0,0,2,2
